통계표,계정항목,단위,가중치,변환,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
4.2.1. 소비자물가지수,총지수,2020=100,1000,원자료,114.91,115.71,116.08,116.29,116.38,116.27,116.31,116.52,116.45,117.06,117.42,117.2,117.57
4.2.1. 소비자물가지수,식료품 및 비주류음료,2020=100,142,원자료,123.61,125.13,126.45,127.26,126.48,124.78,124.74,125.75,128.96,128.82,128.88,127.08,128.01
4.2.1. 소비자물가지수,식료품,2020=100,132.3,원자료,123.52,125.02,126.51,127.28,126.44,124.7,124.48,125.46,128.94,128.83,128.79,126.84,127.84
4.2.1. 소비자물가지수,빵 및 곡물,2020=100,22.3,원자료,121.15,121.33,122.29,123.16,124.31,124.5,125.42,126.4,126.92,127.88,129.46,129.41,129.22
4.2.1. 소비자물가지수,쌀,2020=100,4.2,원자료,99.38,98.77,99.88,100.89,102.05,102.76,104.69,107.93,109.69,113.98,120.31,118.42,117.5
4.2.1. 소비자물가지수,현미,2020=100,0.4,원자료,108.51,110.31,112.22,115.14,117.94,118.8,120.86,127.22,129.39,131.81,133.99,132.44,130.29
4.2.1. 소비자물가지수,찹쌀,2020=100,0.5,원자료,111.3,115.73,118.11,122.83,127.56,128.47,134.26,141.9,145.12,148.16,147.41,140.52,135.87
4.2.1. 소비자물가지수,보리쌀,2020=100,0.2,원자료,158.42,162.71,166.69,170.12,174.8,176.72,178.22,184.96,190.76,194.95,197.52,198.51,198.34
4.2.1. 소비자물가지수,콩,2020=100,0.5,원자료,106.63,106.68,106.89,107.57,107.83,106.93,106.96,108.06,108.54,108.23,108.91,108.63,107.31
4.2.1. 소비자물가지수,땅콩,2020=100,0.1,원자료,120.44,120.92,121.67,121.58,121.27,122.16,122.38,122.46,122.73,122.81,122.33,121.1,120.71
4.2.1. 소비자물가지수,혼식곡,2020=100,0.4,원자료,111.97,113.83,116.47,117.77,118.75,118.72,120.2,120.25,119.66,119.67,120.19,120.9,120.21
4.2.1. 소비자물가지수,밀가루,2020=100,0.1,원자료,137.43,134.59,135.15,135.44,136.04,134.87,135.38,135.71,135.68,136.12,135.33,135.57,137.85
4.2.1. 소비자물가지수,국수,2020=100,0.7,원자료,159.49,156.99,157.66,153.3,154.19,151.12,148,145.87,146.07,145.65,153.19,153.95,152.66
4.2.1. 소비자물가지수,라면,2020=100,2.4,원자료,119.17,118.96,119.05,118.65,123.54,124.64,125.6,123.92,123.82,125.5,126.87,127.13,127.55
4.2.1. 소비자물가지수,당면,2020=100,0.2,원자료,138.8,135.41,135,134.63,136.48,136.76,136.55,137.72,137,137.9,129.67,135.64,135.57
4.2.1. 소비자물가지수,두부,2020=100,1.2,원자료,117.86,116.82,117.12,110.36,110.91,110.98,110.36,111.01,110.16,109.93,110.13,109.36,108.28
4.2.1. 소비자물가지수,시리얼,2020=100,0.4,원자료,126.17,136.8,126.24,131.9,133.32,123.64,140.26,141.95,138.53,118.04,117.08,131.74,143.32
4.2.1. 소비자물가지수,부침가루,2020=100,0.6,원자료,145.07,142.36,143.73,145.15,143.95,145.51,143.99,143.63,143.7,144.72,137.16,143.95,143.7
4.2.1. 소비자물가지수,케이크,2020=100,1.6,원자료,126.52,128.54,128.61,130.78,130.78,131.57,131.56,131.56,131.59,131.87,131.92,131.93,131.94
4.2.1. 소비자물가지수,빵,2020=100,6.8,원자료,134.32,134.32,136.42,138.38,138.45,138.48,138.52,138.55,138.61,138.65,138.68,138.71,138.72
4.2.1. 소비자물가지수,떡,2020=100,1.9,원자료,121.93,122.11,122.36,123.35,123.88,124.18,124.4,124.95,125.45,125.81,126.33,127.43,127.9
4.2.1. 소비자물가지수,파스타면,2020=100,0.1,원자료,133.4,132.49,131.89,131.37,133.55,131.48,132.66,131.91,133.55,128.64,133.74,131.56,133.2
